TRANSACTION_NBR,EMPLID,EMPL_RCD,BGN_DT,PIN_TAKE_NUM,END_DT,SEQNUM,OPRID,EMPLID_CURR_APPR,ACTION_DT,HR_WF_ACTION,HGA_APPR_PRCS
347,K0W001,0,5/29/2012,2343,5/29/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
348,K0W001,0,6/11/2012,2392,6/15/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
349,K0W001,0,6/18/2012,2343,6/18/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
350,K0W001,0,6/21/2012,2343,6/21/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
351,K0W001,0,8/29/2012,2343,8/29/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
348,K0W001,0,6/11/2012,2392,6/15/2012,2,SAMPLE,KU0007,8/15/2012,SAV,REQ
352,K0W101,0,5/21/2012,2392,5/25/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
353,K0W101,0,5/29/2012,2343,5/29/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
354,K0W101,0,6/7/2012,2392,6/15/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
355,K0W101,0,6/18/2012,2343,6/18/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
356,K0W101,0,6/21/2012,2343,6/21/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
357,K0W101,0,6/29/2012,2343,6/29/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
358,K0W201,0,5/21/2012,2392,5/25/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
359,K0W201,0,5/29/2012,2343,5/29/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
360,K0W201,0,6/7/2012,2392,6/15/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
361,K0W201,0,6/18/2012,2343,6/18/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
362,K0W201,0,6/21/2012,2343,6/21/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
363,K0W201,0,6/29/2012,2343,6/29/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
364,K0G001,0,5/21/2012,2392,5/25/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
365,K0G001,0,5/29/2012,2343,5/29/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
366,K0G001,0,6/7/2012,2392,6/15/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
367,K0G001,0,6/18/2012,2343,6/18/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
368,K0G001,0,6/21/2012,2343,6/21/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
369,K0G001,0,6/29/2012,2343,6/29/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
370,K0G002,0,5/21/2012,2392,5/25/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
371,K0G002,0,5/29/2012,2343,5/29/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
372,K0G002,0,6/7/2012,2392,6/15/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
373,K0G002,0,6/18/2012,2343,6/18/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
374,K0G008,0,6/18/2012,2343,6/18/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
375,K0G008,0,6/21/2012,2343,6/21/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
376,K0G008,0,6/29/2012,2343,6/29/2012,1,SAMPLE,KU0007,8/15/2012,SAV,REQ
344,KUTLWC06,0,10/1/2012,2343,10/5/2012,2,KUTLWC02,KUTLWC02,8/20/2012,APV,REQ
380,K0W001,0,8/21/2012,2392,8/21/2012,1,ASMITH,K0W001,8/21/2012,SUB,REQ
378,K0W103,0,12/15/2013,2392,12/15/2013,1,SAMPLE,KU0007,8/21/2012,SAV,REQ
379,K0W001,0,5/1/2012,2343,5/2/2012,1,ASMITH,K0W001,8/21/2012,SUB,REQ
381,K0W001,0,3/1/2013,2392,3/7/2013,1,ASMITH,K0W001,8/21/2012,SUB,REQ
382,K0W002,0,5/5/2012,2343,5/8/2012,1,DTRAVANTTI,K0W002,8/21/2012,SUB,REQ
383,K0W002,1,8/21/2012,2392,8/24/2012,1,DTRAVANTTI,K0W002,8/21/2012,SUB,REQ
384,K0W002,0,5/6/2013,2344,5/6/2013,1,DTRAVANTTI,K0W002,8/21/2012,SUB,REQ
1,K1GSMK08,0,1/17/2004,180514,1/17/2004,1,SAMPLE_K1GSMK08,K1GSMK08,9/20/2004,SUB,REQ
2,K1GSMK08,0,3/6/2004,180514,3/8/2004,1,SAMPLE_K1GSMK08,K1GSMK08,9/20/2004,SUB,REQ
283,KU0044,0,9/28/2011,2392,9/29/2011,1,SAMPLE,KU0007,6/8/2012,SAV,REQ
107,K0W101,0,5/10/2007,2392,5/10/2007,1,HAM_K0W101,K0W101,8/29/2006,SAV,REQ
111,K0W006,0,7/3/2007,2392,7/5/2007,1,LJONES,K0W006,8/29/2006,SAV,REQ
84,K0W207,0,3/6/2007,2342,3/6/2007,1,HAM_K0W207,K0W207,8/29/2006,SAV,REQ
84,K0W207,0,3/6/2007,2342,3/6/2007,2,HAM_K0W207,K0W207,9/19/2006,SUB,REQ
84,K0W207,0,3/6/2007,2342,3/6/2007,3,HAM_K0W206,K0W206,9/19/2006,APV,REQ
84,K0W207,0,3/6/2007,2342,3/6/2007,4,HAM_K0W201,K0W201,9/19/2006,APV,REQ
85,K0W207,0,4/24/2007,2342,4/24/2007,1,HAM_K0W207,K0W207,8/29/2006,SAV,REQ
85,K0W207,0,4/24/2007,2342,4/24/2007,2,HAM_K0W207,K0W207,9/19/2006,SUB,REQ
85,K0W207,0,4/24/2007,2342,4/24/2007,3,HAM_K0W206,K0W206,9/19/2006,APV,REQ
85,K0W207,0,4/24/2007,2342,4/24/2007,4,HAM_K0W201,K0W201,9/19/2006,DNY,REQ
86,K0W002,0,2/5/2007,2343,2/5/2007,1,DTRAVANTTI,K0W002,8/29/2006,SAV,REQ
86,K0W002,0,2/5/2007,2343,2/5/2007,2,DTRAVANTTI,K0W002,9/19/2006,SUB,REQ
86,K0W002,0,2/5/2007,2343,2/5/2007,3,ASMITH,K0W001,9/19/2006,PSH,REQ
86,K0W002,0,2/5/2007,2343,2/5/2007,4,DTRAVANTTI,K0W002,9/19/2006,SUB,REQ
87,K0W002,1,2/5/2007,2343,2/5/2007,1,DTRAVANTTI,K0W002,8/29/2006,SAV,REQ
88,K0W002,1,12/21/2006,2343,12/21/2006,1,DTRAVANTTI,K0W002,8/29/2006,SAV,REQ
89,K0W102,0,2/5/2007,2343,2/5/2007,1,HAM_K0W102,K0W102,8/29/2006,SAV,REQ
89,K0W102,0,2/5/2007,2343,2/5/2007,2,HAM_K0W102,K0W102,9/19/2006,SUB,REQ
89,K0W102,0,2/5/2007,2343,2/5/2007,3,HAM_K0W101,K0W101,9/19/2006,PSH,REQ
89,K0W102,0,2/5/2007,2343,2/5/2007,4,HAM_K0W102,K0W102,9/19/2006,SUB,REQ
90,K0W102,1,2/5/2007,2343,2/5/2007,1,HAM_K0W102,K0W102,8/29/2006,SAV,REQ
91,K0W102,1,12/21/2006,2343,12/21/2006,1,HAM_K0W102,K0W102,8/29/2006,SAV,REQ
92,K0W202,0,2/5/2007,2343,2/5/2007,1,HAM_K0W202,K0W202,8/29/2006,SAV,REQ
92,K0W202,0,2/5/2007,2343,2/5/2007,2,HAM_K0W202,K0W202,9/19/2006,SUB,REQ
92,K0W202,0,2/5/2007,2343,2/5/2007,3,HAM_K0W201,K0W201,9/19/2006,PSH,REQ
18,K0W005,0,4/4/2005,2343,4/6/2005,1,WSMITHERSON,K0W005,9/21/2004,SUB,REQ
19,K0W005,0,9/21/2004,2344,9/21/2004,1,WSMITHERSON,K0W005,9/21/2004,SAV,REQ
20,K0W006,0,6/3/2005,2392,6/3/2005,1,LJONES,K0W006,9/21/2004,SAV,REQ
20,K0W006,0,6/3/2005,2392,6/3/2005,2,LJONES,K0W006,9/21/2004,SAV,REQ
20,K0W006,0,6/3/2005,2392,6/3/2005,3,LJONES,K0W006,9/21/2004,SAV,REQ
20,K0W006,0,6/3/2005,2392,6/3/2005,4,LJONES,K0W006,9/21/2004,SAV,REQ
20,K0W006,0,6/3/2005,2392,6/3/2005,5,LJONES,K0W006,9/21/2004,SAV,REQ
20,K0W006,0,6/3/2005,2392,6/3/2005,6,LJONES,K0W006,9/21/2004,SAV,REQ
20,K0W006,0,6/3/2005,2392,6/3/2005,7,LJONES,K0W006,9/21/2004,SAV,REQ
21,K0W006,0,1/3/2005,2344,1/3/2005,1,LJONES,K0W006,9/21/2004,SUB,REQ
7,K0W002,0,2/22/2005,2392,2/24/2005,3,DTRAVANTTI,K0W002,9/21/2004,CAN,REQ
9,K0W002,1,3/15/2005,2343,3/15/2005,1,DTRAVANTTI,K0W002,9/21/2004,SUB,REQ
9,K0W002,1,3/15/2005,2343,3/15/2005,2,ASMITH,K0W001,9/21/2004,PSH,REQ
10,K0W002,1,5/3/2005,2344,5/3/2005,1,DTRAVANTTI,K0W002,9/21/2004,SUB,REQ
10,K0W002,1,5/3/2005,2344,5/3/2005,2,ASMITH,K0W001,8/29/2006,APV,REQ
11,K0W002,1,7/7/2005,2342,7/7/2005,1,DTRAVANTTI,K0W002,9/21/2004,SUB,REQ
11,K0W002,1,7/7/2005,2342,7/7/2005,2,LJONES,K0W006,9/21/2004,DNY,REQ
12,K0W002,0,7/7/2005,2342,7/13/2005,2,LJONES,K0W006,9/21/2004,APV,REQ
13,K0W003,0,8/7/2005,2343,8/8/2005,1,BGONZALES,K0W003,9/21/2004,SUB,REQ
14,K0W003,0,9/5/2005,2392,9/5/2005,1,BGONZALES,K0W003,9/21/2004,SAV,REQ
14,K0W003,0,9/5/2005,2392,9/5/2005,2,BGONZALES,K0W003,9/21/2004,SAV,REQ
59,K0W003,0,12/26/2006,2392,12/28/2006,1,BGONZALES,K0W003,8/29/2006,SAV,REQ
59,K0W003,0,12/26/2006,2392,12/28/2006,2,BGONZALES,K0W003,9/19/2006,SUB,REQ
59,K0W003,0,12/26/2006,2392,12/28/2006,3,ASMITH,K0W001,9/19/2006,APV,REQ
60,K0W003,0,1/26/2007,2344,1/26/2007,1,BGONZALES,K0W003,8/29/2006,SAV,REQ
1524,K1GCT001,0,2/26/2016,180565,3/8/2016,1,SAMPLE,KU0007,3/8/2016,SAV,REQ
1527,KU0172,0,1/27/2016,2392,1/27/2016,1,SAMPLE,KU0007,3/10/2016,APV,REQ
1528,KU0171,0,1/12/2016,2343,1/12/2016,1,SAMPLE,KU0007,3/10/2016,APV,REQ
1534,KU0130,0,1/12/2016,2343,1/12/2016,1,SAMPLE,KU0007,3/10/2016,APV,REQ
1536,KU0140,0,4/6/2016,2392,4/6/2016,1,SAMPLE,KU0007,3/10/2016,APV,REQ
1537,KU0140,0,5/3/2016,2392,5/3/2016,1,SAMPLE,KU0007,3/10/2016,APV,REQ
1539,KU0172,0,4/18/2016,2343,4/18/2016,1,SAMPLE,KU0007,3/10/2016,APV,REQ
1543,KU0170,0,5/2/2016,2392,5/2/2016,1,SAMPLE,KU0007,3/10/2016,APV,REQ
1550,KU0142,0,2/17/2016,2392,2/17/2016,1,SAMPLE,KU0007,3/10/2016,APV,REQ
1553,KU0173,0,5/30/2016,2392,5/30/2016,1,SAMPLE,KU0007,3/10/2016,APV,REQ
1069,KU0102,0,12/22/2014,2343,12/22/2014,1,SAMPLE,KU0102,3/3/2015,SUB,REQ
1070,KU0131,0,12/19/2014,2343,12/19/2014,1,SAMPLE,KU0131,3/3/2015,SUB,REQ
1071,KU0132,0,12/12/2014,2342,12/12/2014,1,SAMPLE,KU0132,3/3/2015,SUB,REQ
1314,KU0044,0,9/14/2015,2343,9/14/2015,1,SALES,KU0007,9/2/2015,SAV,REQ
1315,KU0044,0,9/4/2015,2392,9/4/2015,1,SALES,KU0007,9/2/2015,SAV,REQ
1316,KU0076,0,9/4/2015,2343,9/4/2015,1,SALES,KU0007,9/2/2015,SAV,REQ
1317,KU0076,0,9/25/2015,2392,9/25/2015,1,SALES,KU0007,9/2/2015,SAV,REQ
1379,KU0207,0,1/12/2015,25905,1/12/2015,1,SAMPLE,KU0007,1/18/2016,SAV,REQ
1381,KU0207,0,3/1/2015,25906,3/1/2015,2,SAMPLE,KU0007,1/18/2016,SAV,REQ
1405,KU0209A,0,5/22/2015,25906,5/22/2015,1,SAMPLE,KU0007,1/18/2016,SAV,REQ
1406,KU0209A,0,6/15/2015,25905,6/15/2015,1,SAMPLE,KU0007,1/18/2016,SAV,REQ
1407,KU0209A,0,7/17/2015,25905,7/17/2015,1,SAMPLE,KU0007,1/18/2016,SAV,REQ
1408,KU0209A,0,8/21/2015,25906,8/21/2015,1,SAMPLE,KU0007,1/18/2016,SAV,REQ
1409,KU0202,0,7/20/2015,25905,7/20/2015,1,SAMPLE,KU0007,1/18/2016,SAV,REQ
1424,KU0203,0,5/4/2015,25905,5/4/2015,1,SAMPLE,KU0007,1/18/2016,SAV,REQ
1425,KU0203,0,6/12/2015,25906,6/12/2015,1,SAMPLE,KU0007,1/18/2016,SAV,REQ
1426,KU0203,0,7/15/2015,25906,7/15/2015,1,SAMPLE,KU0007,1/18/2016,SAV,REQ
1427,KU0203,0,8/18/2015,25905,8/18/2015,1,SAMPLE,KU0007,1/18/2016,SAV,REQ
1428,KU0205,0,5/19/2015,25905,5/19/2015,1,SAMPLE,KU0007,1/18/2016,SAV,REQ
1441,KU0204,0,2/3/2015,25905,2/3/2015,1,SAMPLE,KU0007,1/18/2016,SAV,REQ
1448,KU0204,0,3/2/2015,25905,3/2/2015,3,SAMPLE,KU0007,1/19/2016,SAV,REQ
1441,KU0204,0,2/3/2015,25905,2/3/2015,2,SAMPLE,KU0007,1/19/2016,SAV,REQ
1510,KU0046,0,3/21/2016,2392,3/25/2016,1,SALES,KU0007,3/7/2016,SAV,REQ
1512,KU0020,0,3/7/2016,2392,3/11/2016,1,SALES,KU0007,3/7/2016,SAV,REQ
1522,K1GAZ001,0,3/21/2016,180514,3/22/2016,1,SAMPLE,KU0007,3/8/2016,SAV,REQ
1525,KU0170,0,1/14/2016,2343,1/14/2016,1,SAMPLE,KU0007,3/10/2016,APV,REQ
1526,KU0140,0,1/7/2016,2343,1/7/2016,1,SAMPLE,KU0007,3/10/2016,APV,REQ
1541,KU0170,0,2/1/2016,2392,2/1/2016,1,SAMPLE,KU0007,3/10/2016,APV,REQ
1544,KU0171,0,4/4/2016,2343,4/4/2016,1,SAMPLE,KU0007,3/10/2016,APV,REQ
1311,KU0046,0,9/11/2015,2343,9/11/2015,1,SALES,KU0007,9/2/2015,SAV,REQ
1385,KU0207,0,5/15/2015,25905,5/15/2015,1,SAMPLE,KU0007,1/18/2016,SAV,REQ
1386,KU0207,0,6/22/2015,25906,6/22/2015,1,SAMPLE,KU0007,1/18/2016,SAV,REQ
1387,KU0207,0,7/14/2015,25905,7/14/2015,1,SAMPLE,KU0007,1/18/2016,SAV,REQ
1388,KU0207,0,8/10/2015,25906,8/10/2015,1,SAMPLE,KU0007,1/18/2016,SAV,REQ
1389,KU0202,0,11/23/2015,25906,11/25/2015,1,SAMPLE,KU0007,1/18/2016,SAV,REQ
1415,KU0203,0,1/19/2015,25905,1/19/2015,2,SAMPLE,KU0007,1/18/2016,SAV,REQ
1431,KU0205,0,8/25/2015,25905,8/25/2015,1,SAMPLE,KU0007,1/18/2016,SAV,REQ
1417,KU0203,0,3/12/2015,25906,3/12/2015,2,SAMPLE,KU0007,1/18/2016,SAV,REQ
1418,KU0203,0,4/15/2015,25905,4/15/2015,2,SAMPLE,KU0007,1/18/2016,SAV,REQ
1424,KU0203,0,5/4/2015,25905,5/4/2015,2,SAMPLE,KU0007,1/18/2016,SAV,REQ
1425,KU0203,0,6/12/2015,25906,6/12/2015,2,SAMPLE,KU0007,1/18/2016,SAV,REQ
1426,KU0203,0,7/15/2015,25906,7/15/2015,2,SAMPLE,KU0007,1/18/2016,SAV,REQ
1427,KU0203,0,8/18/2015,25905,8/18/2015,2,SAMPLE,KU0007,1/18/2016,SAV,REQ
1432,KU0203,0,9/17/2015,25905,9/17/2015,2,SAMPLE,KU0007,1/18/2016,SAV,REQ
1433,KU0203,0,10/12/2015,25905,10/12/2015,2,SAMPLE,KU0007,1/18/2016,SAV,REQ
1434,KU0203,0,11/23/2015,25906,11/30/2015,2,SAMPLE,KU0007,1/18/2016,SAV,REQ
1435,KU0203,0,12/22/2015,25906,12/24/2015,2,SAMPLE,KU0007,1/18/2016,SAV,REQ
1458,KU0208,0,7/13/2015,25906,7/13/2015,1,SAMPLE,KU0007,1/18/2016,SAV,REQ
1459,KU0208,0,8/12/2015,25905,8/12/2015,1,SAMPLE,KU0007,1/18/2016,SAV,REQ
1460,KU0208,0,9/30/2015,25905,9/30/2015,1,SAMPLE,KU0007,1/18/2016,SAV,REQ
1461,KU0208,0,10/13/2015,25905,10/13/2015,1,SAMPLE,KU0007,1/18/2016,SAV,REQ
1462,KU0208,0,11/24/2015,25906,11/25/2015,1,SAMPLE,KU0007,1/18/2016,SAV,REQ
1463,KU0208,0,12/28/2015,25906,12/31/2015,1,SAMPLE,KU0007,1/18/2016,SAV,REQ
1464,KU0204,0,1/8/2015,25905,1/8/2015,2,SAMPLE,KU0007,1/19/2016,SAV,REQ
1490,KU0044,0,9/1/2014,2439,9/8/2014,2,RCHANNING,KU0046,3/7/2016,APV,REQ
1507,KU0041,0,3/7/2016,2392,3/11/2016,1,SALES,KU0007,3/7/2016,SAV,REQ
1508,KU0099,0,3/14/2016,2392,3/18/2016,1,SALES,KU0007,3/7/2016,SAV,REQ
1530,KU0173,0,1/25/2016,2392,1/25/2016,1,SAMPLE,KU0007,3/10/2016,APV,REQ
1535,KU0140,0,2/17/2016,2343,2/17/2016,1,SAMPLE,KU0007,3/10/2016,APV,REQ
1554,KU0176,0,3/7/2016,2343,3/7/2016,1,SAMPLE,KU0007,3/10/2016,APV,REQ
1558,KU0103,0,2/1/2016,2343,2/1/2016,1,SAMPLE,KU0007,3/10/2016,APV,REQ
1564,KA0005,0,5/1/2016,81175,5/10/2016,1,SAMPLE,KU0007,5/6/2016,SAV,REQ
1568,KU0142,0,8/29/2016,2392,8/29/2016,1,SAMPLE,KU0007,5/17/2016,APV,REQ
1569,KU0172,0,7/25/2016,2343,7/25/2016,1,SAMPLE,KU0007,5/17/2016,APV,REQ
1570,KU0170,0,8/1/2016,2343,8/1/2016,1,SAMPLE,KU0007,5/17/2016,APV,REQ
1575,KU0130,0,8/16/2016,2343,8/16/2016,1,SAMPLE,KU0007,5/17/2016,APV,REQ
1580,KY0002,0,1/20/2016,70979,1/22/2016,1,SAMPLE,KU0007,5/19/2016,SAV,REQ
1585,KY0003,0,2/2/2016,70979,2/4/2016,1,SAMPLE,KU0007,5/19/2016,SAV,REQ
1586,KY0002,0,2/2/2016,70572,2/4/2016,1,SAMPLE,KU0007,5/19/2016,SAV,REQ
1591,KU0500,0,4/21/2016,2343,4/22/2016,1,SAMPLE,KU0007,5/30/2016,SAV,REQ
1593,KU0519,0,6/29/2016,2392,6/29/2016,1,SAMPLE,KU0007,5/30/2016,SAV,REQ
1601,KR0002,0,1/20/2016,220080,1/22/2016,1,SAMPLE,KU0007,6/3/2016,SAV,REQ
1604,KR0002,0,2/2/2016,220246,2/4/2016,1,SAMPLE,KU0007,6/3/2016,SAV,REQ
1605,KR0003,0,1/11/2016,220250,1/17/2016,1,SAMPLE,KU0007,6/3/2016,SAV,REQ
1607,KR0003,0,2/8/2016,220245,2/14/2016,1,SAMPLE,KU0007,6/3/2016,SAV,REQ
1608,KR0003,0,1/23/2016,220246,1/25/2016,1,SAMPLE,KU0007,6/3/2016,SAV,REQ
1610,KU0020,0,10/28/2016,2343,10/28/2016,1,RCHANNING,KU0046,6/3/2016,SUB,REQ
1612,KU0020,0,9/29/2016,2344,9/29/2016,1,RCHANNING,KU0046,6/3/2016,SUB,REQ
1613,KU0020,0,6/10/2016,2343,6/10/2016,1,RCHANNING,KU0046,6/3/2016,SUB,REQ
1614,KU0020,0,9/14/2016,2392,9/14/2016,1,RCHANNING,KU0046,6/3/2016,SUB,REQ
1616,KU0102,0,1/11/2016,2344,1/11/2016,1,RCHANNING,KU0046,6/3/2016,SUB,REQ
1619,KU0102,0,4/5/2016,2343,4/5/2016,1,RCHANNING,KU0046,6/3/2016,SUB,REQ
1622,KU0102,0,5/30/2016,2392,5/30/2016,1,RCHANNING,KU0046,6/3/2016,SUB,REQ
1623,KU0102,0,6/3/2016,2392,6/3/2016,1,RCHANNING,KU0046,6/3/2016,SUB,REQ
1625,KU0102,0,7/28/2016,2392,7/29/2016,1,RCHANNING,KU0046,6/3/2016,SUB,REQ
1627,KU0102,0,10/17/2016,2343,10/18/2016,1,RCHANNING,KU0046,6/3/2016,SUB,REQ
1629,KU0102,0,10/27/2016,2343,10/27/2016,1,RCHANNING,KU0046,6/3/2016,SUB,REQ
1630,KU0131,0,8/16/2016,2343,8/17/2016,1,RCHANNING,KU0046,6/3/2016,SUB,REQ
1631,KU0131,0,7/5/2016,2343,7/5/2016,1,RCHANNING,KU0046,6/3/2016,SUB,REQ
1634,KU0131,0,10/18/2016,2343,10/18/2016,1,RCHANNING,KU0046,6/3/2016,SUB,REQ
518,KR0043,0,2/1/2014,220080,2/15/2014,1,SAMPLE,KU0007,4/8/2014,SAV,REQ
548,KU0059,0,10/9/2014,2392,10/9/2014,1,VZINN,KU0059,5/23/2014,SUB,REQ
551,KU0046,0,10/6/2014,2392,10/6/2014,1,RCHANNING,KU0046,5/26/2014,SUB,REQ
561,K0W232,0,1/6/2014,2392,1/7/2014,1,SAMPLE,KU0007,5/28/2014,SAV,REQ
570,K0W202,0,2/10/2014,2343,2/11/2014,1,SAMPLE,KU0007,5/28/2014,SAV,REQ
717,K0G002,0,7/16/2014,2343,8/12/2014,2,SAMPLE,KU0007,5/30/2014,SAV,REQ
716,K0G002,0,6/1/2014,2392,7/15/2014,2,SAMPLE,KU0007,5/30/2014,SAV,REQ
720,K0G004,0,8/15/2014,2343,8/18/2014,2,SAMPLE,KU0007,5/30/2014,SAV,REQ
721,K0G004,0,6/1/2014,2392,6/10/2014,2,SAMPLE,KU0007,5/30/2014,SAV,REQ
725,K0G006,0,8/22/2014,2343,8/23/2014,2,SAMPLE,KU0007,5/30/2014,SAV,REQ
724,K0G006,0,6/1/2014,2392,6/10/2014,2,SAMPLE,KU0007,5/30/2014,SAV,REQ
732,KY0001,0,1/7/2013,70131,1/14/2013,1,SAMPLE,KU0007,5/30/2014,SAV,REQ
734,KY0003,0,1/7/2013,70131,1/18/2013,1,SAMPLE,KU0007,5/30/2014,SAV,REQ
738,KU0079,0,9/22/2014,2342,9/26/2014,1,RPARKER,KU0079,6/1/2014,SUB,REQ
749,KU0020,0,1/6/2014,2392,1/9/2014,1,CSTEVENSON,KU0020,6/1/2014,SUB,REQ
742,KU0131,0,8/4/2014,2343,8/6/2014,1,SAMPLE,KU0007,6/1/2014,SAV,REQ
747,KU0149,0,8/1/2014,2343,8/1/2014,1,SAMPLE,KU0007,6/1/2014,SAV,REQ
765,KU0059,0,3/11/2014,2343,3/11/2014,1,VZINN,KU0059,6/1/2014,SUB,REQ
772,KU0102,0,2/4/2014,2343,2/6/2014,1,EDONAHUE,KU0102,6/1/2014,SUB,REQ
775,KU0102,0,8/26/2014,2392,9/8/2014,1,EDONAHUE,KU0102,6/1/2014,SUB,REQ
779,KU0044,0,8/1/2014,2343,8/5/2014,1,DREESE,KU0044,6/1/2014,SUB,REQ
752,KU0020,0,3/11/2014,2343,3/12/2014,2,RCHANNING,KU0046,6/1/2014,DNY,REQ
758,KU0039,0,5/20/2014,2392,5/27/2014,2,RCHANNING,KU0046,6/1/2014,PSH,REQ
773,KU0102,0,4/8/2014,2392,4/22/2014,2,RCHANNING,KU0046,6/1/2014,DNY,REQ
750,KU0020,0,1/20/2014,2343,1/21/2014,2,RCHANNING,KU0046,6/1/2014,APV,REQ
772,KU0102,0,2/4/2014,2343,2/6/2014,2,RCHANNING,KU0046,6/1/2014,APV,REQ
751,KU0020,0,2/13/2014,2343,2/14/2014,2,RCHANNING,KU0046,6/1/2014,APV,REQ
754,KU0020,0,6/16/2014,2392,6/18/2014,2,RCHANNING,KU0046,6/2/2014,APV,REQ
783,KU0145,0,7/30/2014,2392,7/31/2014,2,CSTEVENSON,KU0020,6/2/2014,APV,REQ
784,KU0147,0,7/28/2014,2392,7/31/2014,2,CSTEVENSON,KU0020,6/2/2014,APV,REQ
776,KU0039,0,8/4/2014,2392,8/5/2014,2,RCHANNING,KU0046,6/2/2014,APV,REQ
789,KU0149,0,8/29/2014,2392,8/29/2014,1,SAMPLE,KU0007,6/2/2014,SAV,REQ
504,KNG002,0,7/2/2012,161022,7/13/2012,2,SAMPLE,KU0007,3/14/2014,SAV,REQ
550,KU0046,0,9/2/2014,2392,9/2/2014,1,RCHANNING,KU0046,5/26/2014,SUB,REQ
553,KU0046,0,9/25/2014,2343,9/25/2014,1,RCHANNING,KU0046,5/26/2014,SUB,REQ
557,K0W203,0,1/2/2014,2343,1/2/2014,2,SAMPLE,KU0007,5/28/2014,SAV,REQ
580,K0W204,0,1/6/2014,2392,1/7/2014,1,SAMPLE,KU0007,5/28/2014,SAV,REQ
597,K0W234,0,4/14/2014,2392,4/21/2014,1,SAMPLE,KU0007,5/28/2014,SAV,REQ
612,K0W231,0,6/23/2014,2343,6/23/2014,1,SAMPLE,KU0007,5/29/2014,SAV,REQ
622,K0W232,0,7/22/2014,2343,7/25/2014,1,HAM_K0W232,K0W232,5/29/2014,SUB,REQ
626,K0W233,0,9/22/2014,2343,9/24/2014,1,HAM_K0W233,K0W233,5/29/2014,SUB,REQ
627,K0W234,0,7/21/2014,2343,7/23/2014,1,HAM_K0W234,K0W234,5/29/2014,SUB,REQ
628,K0W234,0,9/15/2014,2392,9/17/2014,1,HAM_K0W234,K0W234,5/29/2014,SUB,REQ
639,K0W204,0,10/13/2014,2392,10/15/2014,1,HAM_K0W204,K0W204,5/29/2014,SUB,REQ
644,KNG003,0,5/5/2014,161022,5/5/2014,1,SAMPLE,KU0007,5/29/2014,SAV,REQ
645,KNG003,0,7/7/2014,161022,7/25/2014,1,SAMPLE,KU0007,5/29/2014,SAV,REQ
647,KNG001,0,9/24/2014,161050,10/3/2014,1,SAMPLE,KU0007,5/29/2014,SAV,REQ
659,KU0016,0,4/7/2014,2343,4/8/2014,1,JSTRUNSKY,KU0016,5/30/2014,SUB,REQ
660,KU0016,0,6/11/2014,2342,6/17/2014,1,JSTRUNSKY,KU0016,5/30/2014,SUB,REQ
677,KU0136,0,12/30/2013,2392,1/6/2014,1,JMICHAELS,KU0136,5/30/2014,SUB,REQ
688,KU0146,0,6/23/2014,2392,6/26/2014,1,MBAKER,KU0146,5/30/2014,SUB,REQ
694,KU0149,0,1/8/2014,2343,1/9/2014,1,CCALDER,KU0149,5/30/2014,SUB,REQ
670,KU0132,0,3/10/2014,2343,3/12/2014,2,CSTEVENSON,KU0020,5/30/2014,APV,REQ
659,KU0016,0,4/7/2014,2343,4/8/2014,2,CSTEVENSON,KU0020,5/30/2014,APV,REQ
687,KU0146,0,5/19/2014,2343,5/20/2014,2,CSTEVENSON,KU0020,5/30/2014,APV,REQ
688,KU0146,0,6/23/2014,2392,6/26/2014,2,CSTEVENSON,KU0020,5/30/2014,APV,REQ
710,KU0059,0,8/18/2014,2342,8/21/2014,2,RCHANNING,KU0046,5/30/2014,APV,REQ
